['22/01/21', 'Front Lights', '13:59:00', '0 day, 13:59:00']
['22/01/22', 'Front Lights', '13:57:00', '1 day, 3:56:00']
['22/01/23', 'Front Lights', '13:54:00', '1 day, 17:50:00']
['22/01/24', 'Front Lights', '13:53:01', '2 days, 7:43:01']
['22/01/25', 'Front Lights', '14:00:26', '2 days, 21:43:27']
['22/01/26', 'Front Lights', '13:49:05', '3 days, 11:32:32']
['22/01/27', 'Front Lights', '13:47:00', '4 days, 1:19:32']
['22/01/28', 'Front Lights', '13:45:00', '4 days, 15:04:32']
['22/01/29', 'Front Lights', '13:43:00', '5 days, 4:47:32']
['22/01/30', 'Front Lights', '13:40:00', '5 days, 18:27:32']
['22/01/31', 'Front Lights', '13:39:00', '6 days, 8:06:32']
['22/02/01', 'Front Lights', '13:38:01', '6 days, 21:44:33']
['22/02/02', 'Front Lights', '13:34:00', '7 days, 11:18:33']
['22/02/03', 'Front Lights', '13:31:01', '8 days, 0:49:34']
['22/02/04', 'Front Lights', '13:29:00', '8 days, 14:18:34']
['22/02/05', 'Front Lights', '13:27:00', '9 days, 3:45:34']
['22/02/06', 'Front Lights', '13:24:00', '9 days, 17:09:34']
['22/02/07', 'Front Lights', '13:22:00', '10 days, 6:31:34']
['22/02/08', 'Front Lights', '13:20:47', '10 days, 19:52:21']
['22/02/09', 'Front Lights', '13:16:01', '11 days, 9:08:22']
['22/02/10', 'Front Lights', '12:04:36', '11 days, 21:12:58']
['22/02/11', 'Front Lights', '13:13:01', '12 days, 10:25:59']
['22/02/12', 'Front Lights', '13:11:00', '12 days, 23:36:59']
['22/02/13', 'Front Lights', '13:06:00', '13 days, 12:42:59']
['22/02/14', 'Front Lights', '13:04:00', '14 days, 1:46:59']
['22/02/15', 'Front Lights', '13:02:00', '14 days, 14:48:59']
['22/02/16', 'Front Lights', '12:58:01', '15 days, 3:47:00']
['22/02/17', 'Front Lights', '12:58:00', '15 days, 16:45:00']
['22/02/18', 'Front Lights', '12:54:00', '16 days, 5:39:00']
['22/02/19', 'Front Lights', '12:49:00', '16 days, 18:28:00']
['22/02/20', 'Front Lights', '12:49:00', '17 days, 7:17:00']
['22/02/21', 'Front Lights', '12:48:00', '17 days, 20:05:00']
['22/02/22', 'Front Lights', '12:43:00', '18 days, 8:48:00']
['22/02/23', 'Front Lights', '12:41:00', '18 days, 21:29:00']
['22/02/24', 'Front Lights', '12:39:00', '19 days, 10:08:00']
['22/02/25', 'Front Lights', '12:37:00', '19 days, 22:45:00']
['22/02/26', 'Front Lights', '12:32:00', '20 days, 11:17:00']
['22/02/27', 'Front Lights', '12:29:01', '20 days, 23:46:01']
['22/02/28', 'Front Lights', '12:24:20', '21 days, 12:10:21']
['22/03/01', 'Front Lights', '12:25:00', '22 days, 0:35:21']
['22/03/02', 'Front Lights', '12:21:00', '22 days, 12:56:21']
['22/03/03', 'Front Lights', '12:18:01', '23 days, 1:14:22']
['22/03/04', 'Front Lights', '12:13:00', '23 days, 13:27:22']
['22/03/05', 'Front Lights', '12:12:00', '24 days, 1:39:22']
['22/03/06', 'Front Lights', '12:08:00', '24 days, 13:47:22']
['22/03/07', 'Front Lights', '12:06:00', '25 days, 1:53:22']
['22/03/08', 'Front Lights', '12:04:00', '25 days, 13:57:22']
['22/03/09', 'Front Lights', '12:02:00', '26 days, 1:59:22']
['22/03/10', 'Front Lights', '11:59:00', '26 days, 13:58:22']
['22/03/11', 'Front Lights', '11:54:00', '27 days, 1:52:22']
['22/03/12', 'Front Lights', '11:53:00', '27 days, 13:45:22']
['22/03/13', 'Front Lights', '12:49:00', '28 days, 2:34:22']
['22/03/14', 'Front Lights', '11:47:00', '28 days, 14:21:22']
['22/03/15', 'Front Lights', '11:44:00', '29 days, 2:05:22']
['22/03/16', 'Front Lights', '11:40:02', '29 days, 13:45:24']
['22/03/17', 'Front Lights', '11:36:00', '30 days, 1:21:24']
['22/03/18', 'Front Lights', '11:33:00', '30 days, 12:54:24']
['22/03/19', 'Front Lights', '20:31:38', '31 days, 9:26:02']
['22/03/20', 'Front Lights', '11:30:00', '31 days, 20:56:02']
['22/03/21', 'Front Lights', '11:26:00', '32 days, 8:22:02']
['22/03/23', 'Front Lights', '11:20:14', '32 days, 19:42:16']
['22/03/24', 'Front Lights', '11:19:00', '33 days, 7:01:16']
['22/03/25', 'Front Lights', '11:17:01', '33 days, 18:18:17']
['22/03/26', 'Front Lights', '11:13:00', '34 days, 5:31:17']
['22/03/27', 'Front Lights', '11:10:58', '34 days, 16:42:15']
['22/03/28', 'Front Lights', '11:07:00', '35 days, 3:49:15']
['22/03/29', 'Front Lights', '11:04:01', '35 days, 14:53:16']
['22/03/30', 'Front Lights', '11:01:00', '36 days, 1:54:16']
['22/03/31', 'Front Lights', '11:00:00', '36 days, 12:54:16']
['22/04/01', 'Front Lights', '10:54:00', '36 days, 23:48:16']
['22/04/02', 'Front Lights', '10:52:00', '37 days, 10:40:16']
['22/04/03', 'Front Lights', '10:49:00', '37 days, 21:29:16']
['22/04/04', 'Front Lights', '10:48:00', '38 days, 8:17:16']
['22/04/05', 'Front Lights', '10:44:00', '38 days, 19:01:16']
['22/04/06', 'Front Lights', '10:42:00', '39 days, 5:43:16']
['22/04/07', 'Front Lights', '10:38:00', '39 days, 16:21:16']
['22/04/08', 'Front Lights', '10:34:00', '40 days, 2:55:16']
['22/04/09', 'Front Lights', '10:31:00', '40 days, 13:26:16']
['22/04/10', 'Front Lights', '10:27:00', '40 days, 23:53:16']
['22/04/11', 'Front Lights', '10:25:01', '41 days, 10:18:17']
['22/04/12', 'Front Lights', '10:26:00', '41 days, 20:44:17']
['22/04/13', 'Front Lights', '10:21:00', '42 days, 7:05:17']
['22/04/14', 'Front Lights', '10:16:00', '42 days, 17:21:17']
['22/04/16', 'Front Lights', '10:13:00', '43 days, 3:34:17']
['22/04/17', 'Front Lights', '10:10:01', '43 days, 13:44:18']
['22/04/18', 'Front Lights', '10:06:00', '43 days, 23:50:18']
['22/04/19', 'Front Lights', '00:03:13', '43 days, 23:53:31']
['22/04/20', 'Front Lights', '10:01:01', '44 days, 9:54:32']
['22/04/21', 'Front Lights', '09:59:01', '44 days, 19:53:33']
['22/04/22', 'Front Lights', '09:56:03', '45 days, 5:49:36']
['22/04/23', 'Front Lights', '09:55:03', '45 days, 15:44:39']
['22/04/25', 'Front Lights', '09:49:00', '46 days, 1:33:39']
['22/04/26', 'Front Lights', '09:48:01', '46 days, 11:21:40']
['22/04/27', 'Front Lights', '09:42:00', '46 days, 21:03:40']
['22/04/28', 'Front Lights', '09:39:02', '47 days, 6:42:42']
['22/04/29', 'Front Lights', '09:37:02', '47 days, 16:19:44']
['22/04/30', 'Front Lights', '09:36:02', '48 days, 1:55:46']
['22/05/01', 'Front Lights', '16:42:47', '48 days, 18:38:33']
['22/05/02', 'Front Lights', '09:28:01', '49 days, 4:06:34']
['22/05/03', 'Front Lights', '09:26:01', '49 days, 13:32:35']
['22/05/04', 'Front Lights', '09:26:03', '49 days, 22:58:38']
['22/05/05', 'Front Lights', '09:23:03', '50 days, 8:21:41']
['22/05/06', 'Front Lights', '09:20:03', '50 days, 17:41:44']
['22/01/21', 'Back Yard Lights', '13:59:00', '0 day, 13:59:00']
['22/01/22', 'Back Yard Lights', '13:57:00', '1 day, 3:56:00']
['22/01/23', 'Back Yard Lights', '13:54:00', '1 day, 17:50:00']
['22/01/24', 'Back Yard Lights', '13:53:01', '2 days, 7:43:01']
['22/01/25', 'Back Yard Lights', '13:51:00', '2 days, 21:34:01']
['22/01/26', 'Back Yard Lights', '13:49:06', '3 days, 11:23:07']
['22/01/27', 'Back Yard Lights', '13:47:00', '4 days, 1:10:07']
['22/01/28', 'Back Yard Lights', '13:46:00', '4 days, 14:56:07']
['22/01/29', 'Back Yard Lights', '13:43:00', '5 days, 4:39:07']
['22/01/30', 'Back Yard Lights', '13:40:00', '5 days, 18:19:07']
['22/01/31', 'Back Yard Lights', '13:38:00', '6 days, 7:57:07']
['22/02/01', 'Back Yard Lights', '13:37:01', '6 days, 21:34:08']
['22/02/02', 'Back Yard Lights', '13:35:00', '7 days, 11:09:08']
['22/02/03', 'Back Yard Lights', '13:33:01', '8 days, 0:42:09']
['22/02/04', 'Back Yard Lights', '13:27:00', '8 days, 14:09:09']
['22/02/05', 'Back Yard Lights', '13:27:00', '9 days, 3:36:09']
['22/02/09', 'Back Yard Lights', '13:16:01', '12 days, 6:15:57']
['22/02/10', 'Back Yard Lights', '12:06:36', '12 days, 18:22:33']
['22/02/11', 'Back Yard Lights', '13:10:01', '13 days, 7:32:34']
['22/02/12', 'Back Yard Lights', '13:12:00', '13 days, 20:44:34']
['22/02/13', 'Back Yard Lights', '13:05:59', '14 days, 9:50:33']
['22/02/14', 'Back Yard Lights', '13:05:00', '14 days, 22:55:33']
['22/02/15', 'Back Yard Lights', '13:00:00', '15 days, 11:55:33']
['22/02/16', 'Back Yard Lights', '12:59:01', '16 days, 0:54:34']
['22/02/17', 'Back Yard Lights', '12:55:00', '16 days, 13:49:34']
['22/02/18', 'Back Yard Lights', '12:53:01', '17 days, 2:42:35']
['22/02/19', 'Back Yard Lights', '12:51:01', '17 days, 15:33:36']
['22/02/20', 'Back Yard Lights', '12:49:00', '18 days, 4:22:36']
['22/02/21', 'Back Yard Lights', '12:46:00', '18 days, 17:08:36']
['22/02/22', 'Back Yard Lights', '12:45:00', '19 days, 5:53:36']
['22/02/23', 'Back Yard Lights', '12:42:00', '19 days, 18:35:36']
['22/02/24', 'Back Yard Lights', '12:38:00', '20 days, 7:13:36']
['22/02/25', 'Back Yard Lights', '12:37:00', '20 days, 19:50:36']
['22/02/26', 'Back Yard Lights', '12:33:00', '21 days, 8:23:36']
['22/02/27', 'Back Yard Lights', '12:31:01', '21 days, 20:54:37']
['22/02/28', 'Back Yard Lights', '12:25:20', '22 days, 9:19:57']
['22/03/01', 'Back Yard Lights', '12:24:00', '22 days, 21:43:57']
['22/03/02', 'Back Yard Lights', '12:21:00', '23 days, 10:04:57']
['22/03/03', 'Back Yard Lights', '12:17:00', '23 days, 22:21:57']
['22/03/04', 'Back Yard Lights', '12:13:00', '24 days, 10:34:57']
['22/03/05', 'Back Yard Lights', '12:12:01', '24 days, 22:46:58']
['22/03/06', 'Back Yard Lights', '12:11:00', '25 days, 10:57:58']
['22/03/07', 'Back Yard Lights', '12:04:00', '25 days, 23:01:58']
['22/03/08', 'Back Yard Lights', '12:05:00', '26 days, 11:06:58']
['22/03/09', 'Back Yard Lights', '12:01:00', '26 days, 23:07:58']
['22/03/10', 'Back Yard Lights', '11:56:01', '27 days, 11:03:59']
['22/03/11', 'Back Yard Lights', '11:54:00', '27 days, 22:57:59']
['22/03/12', 'Back Yard Lights', '11:53:00', '28 days, 10:50:59']
['22/03/13', 'Back Yard Lights', '12:49:00', '28 days, 23:39:59']
['22/03/14', 'Back Yard Lights', '11:46:01', '29 days, 11:26:00']
['22/03/15', 'Back Yard Lights', '11:43:00', '29 days, 23:09:00']
['22/03/16', 'Back Yard Lights', '11:41:00', '30 days, 10:50:00']
['22/03/17', 'Back Yard Lights', '11:39:00', '30 days, 22:29:00']
['22/03/18', 'Back Yard Lights', '11:35:00', '31 days, 10:04:00']
['22/03/19', 'Back Yard Lights', '11:33:01', '31 days, 21:37:01']
['22/03/20', 'Back Yard Lights', '11:28:00', '32 days, 9:05:01']
['22/03/21', 'Back Yard Lights', '11:28:00', '32 days, 20:33:01']
['22/03/23', 'Back Yard Lights', '11:19:14', '33 days, 7:52:15']
['22/03/24', 'Back Yard Lights', '11:18:00', '33 days, 19:10:15']
['22/03/25', 'Back Yard Lights', '11:15:01', '34 days, 6:25:16']
['22/03/26', 'Back Yard Lights', '11:12:00', '34 days, 17:37:16']
['22/03/27', 'Back Yard Lights', '11:10:58', '35 days, 4:48:14']
['22/03/28', 'Back Yard Lights', '11:07:00', '35 days, 15:55:14']
['22/03/29', 'Back Yard Lights', '11:05:01', '36 days, 3:00:15']
['22/03/30', 'Back Yard Lights', '11:00:00', '36 days, 14:00:15']
['22/03/31', 'Back Yard Lights', '10:59:00', '37 days, 0:59:15']
['22/04/01', 'Back Yard Lights', '10:55:00', '37 days, 11:54:15']
['22/04/02', 'Back Yard Lights', '10:53:00', '37 days, 22:47:15']
['22/04/03', 'Back Yard Lights', '10:48:01', '38 days, 9:35:16']
['22/04/04', 'Back Yard Lights', '10:47:00', '38 days, 20:22:16']
['22/04/05', 'Back Yard Lights', '10:44:00', '39 days, 7:06:16']
['22/04/06', 'Back Yard Lights', '10:39:00', '39 days, 17:45:16']
['22/04/07', 'Back Yard Lights', '10:37:00', '40 days, 4:22:16']
['22/04/08', 'Back Yard Lights', '10:35:00', '40 days, 14:57:16']
['22/04/09', 'Back Yard Lights', '10:32:00', '41 days, 1:29:16']
['22/04/10', 'Back Yard Lights', '10:29:00', '41 days, 11:58:16']
['22/04/11', 'Back Yard Lights', '10:27:01', '41 days, 22:25:17']
['22/04/12', 'Back Yard Lights', '10:26:01', '42 days, 8:51:18']
['22/04/13', 'Back Yard Lights', '10:21:00', '42 days, 19:12:18']
['22/04/14', 'Back Yard Lights', '10:20:00', '43 days, 5:32:18']
['22/04/16', 'Back Yard Lights', '10:14:00', '43 days, 15:46:18']
['22/04/17', 'Back Yard Lights', '10:10:00', '44 days, 1:56:18']
['22/04/18', 'Back Yard Lights', '10:07:00', '44 days, 12:03:18']
['22/04/19', 'Back Yard Lights', '00:03:13', '44 days, 12:06:31']
['22/04/20', 'Back Yard Lights', '10:01:01', '44 days, 22:07:32']
['22/04/21', 'Back Yard Lights', '09:57:02', '45 days, 8:04:34']
['22/04/22', 'Back Yard Lights', '09:56:03', '45 days, 18:00:37']
['22/04/23', 'Back Yard Lights', '09:54:03', '46 days, 3:54:40']
['22/04/25', 'Back Yard Lights', '09:48:00', '46 days, 13:42:40']
['22/04/26', 'Back Yard Lights', '09:47:01', '46 days, 23:29:41']
['22/04/27', 'Back Yard Lights', '09:43:00', '47 days, 9:12:41']
['22/04/28', 'Back Yard Lights', '09:39:02', '47 days, 18:51:43']
['22/04/29', 'Back Yard Lights', '09:38:02', '48 days, 4:29:45']
['22/04/30', 'Back Yard Lights', '09:37:03', '48 days, 14:06:48']
['22/05/01', 'Back Yard Lights', '10:54:04', '49 days, 1:00:52']
['22/05/02', 'Back Yard Lights', '09:28:01', '49 days, 10:28:53']
['22/05/03', 'Back Yard Lights', '09:26:01', '49 days, 19:54:54']
['22/05/04', 'Back Yard Lights', '09:23:03', '50 days, 5:17:57']
['22/05/05', 'Back Yard Lights', '09:22:03', '50 days, 14:40:00']
['22/05/06', 'Back Yard Lights', '09:18:03', '50 days, 23:58:03']
